CUI|TECHNICAL_TERM|PATIENT_TERM|SEMANTIC_TYPES|SEMANTIC_GROUP
C0005863|western blot|análisis de laboratorio de proteínas y anticuerpos|Laboratory Procedure;Molecular Biology Research Technique|PROC
C0005874|rubor|enrojecimiento|Sign or Symptom|DISO
C0005886|constitucional|de la constitución de un individuo|Organism Attribute|PHYS
C0005889|humoral|de los líquidos del cuerpo|Body Substance|ANAT
C0005902|asc|área de superficie corporal|Organism Attribute|PHYS
C0005902|sc|superficie corporal|Organism Attribute|PHYS
C0005903|ta|temperatura|Organism Attribute|PHYS
C0005903|tra|temperatura|Organism Attribute|PHYS
C0005903|tª|temperatura|Organism Attribute|PHYS
C0005905|termorregulación|regulación del calor o de la temperatura|Organism Function|PHYS
C0005953|mo|médula ósea|Tissue|ANAT
C0005953|médula ósea|tuétano|Tissue|ANAT
C0006104|encéfalo|sesos|Body Part, Organ, or Organ Component|ANAT
C0006107|conmoción|golpe o sacudida violenta|Injury or Poisoning|DISO
C0006111|encefalopatía|enfermedad que afecta al funcionamiento del cerebro|Disease or Syndrome|DISO
C0006114|edema cerebral|congestión cerebral|Pathologic Function|DISO
C0006141|mamario|de la mama|Body Part, Organ, or Organ Component|ANAT
C0006141|mama|seno|Body Part, Organ, or Organ Component|ANAT
C0006142|cáncer de mama|cáncer de pecho|Neoplastic Process|DISO
C0006147|amamantar|dar el pecho|Organism Function|PHYS
C0006147|lact.|lactancia|Organism Function|PHYS
C0006147|lactación|amamantamiento|Organism Function|PHYS
C0006147|lm|lactancia materna|Organism Function|PHYS
C0006255|bronquial|de los bronquios|Body Part, Organ, or Organ Component|ANAT
C0006266|bne|broncoespasmo|Disease or Syndrome|DISO
C0006266|broncoespasmo|contracción de los bronquios que causa una sensación de ahogo|Disease or Syndrome|DISO
C0006267|bronquiectasia|enfermedad crónica inflamatoria de las vías aéreas con dilatación de los bronquios|Disease or Syndrome|DISO
C0006277|bronquitis|inflamación de los bronquios|Disease or Syndrome|DISO
C0006280|bd|broncodilatador|Pharmacologic Substance|CHEM
C0006285|bronconeumonía|inflamación difusa de los pulmones|Disease or Syndrome|DISO
C0006318|soplo|vibración que se oye por auscultación|Finding|DISO
C0006325|bruxismo|rechinar de dientes|Mental or Behavioral Dysfunction|DISO
C0006382|hh|haz de his|Body Part, Organ, or Organ Component|ANAT
C0006384|brhh|bloqueo de rama del haz de his|Disease or Syndrome|DISO
C0006413|lb|leucemia de burkitt|Neoplastic Process|DISO
C0006444|bursitis|inflamación de la bolsa de una articulación|Disease or Syndrome|DISO
C0006497|nalga|cachete|Body Location or Region|ANAT
C0006560|pcr|proteína c-reactiva|Amino Acid, Peptide, or Protein;Immunologic Factor|CHEM
C0006625|caquexia|adelgazamiento extremo y debilidad general|Sign or Symptom|DISO
C0006625|caquéctico|malnutrido|Sign or Symptom|DISO
C0006629|cadáver|muerto|Anatomical Structure|ANAT
C0006655|calcáneo|hueso del talón|Body Part, Organ, or Organ Component|ANAT
C0006668|ct|calcitonina|Amino Acid, Peptide, or Protein;Hormone;Pharmacologic Substance|CHEM
C0006668|tct|tirocalcitonina|Amino Acid, Peptide, or Protein;Hormone;Pharmacologic Substance|CHEM
C0006675|ca|calcio|Biologically Active Substance;Element, Ion, or Isotope;Pharmacologic Substance|CHEM
C0006701|hidróxido de calcio|cal apagada|Inorganic Chemical;Pharmacologic Substance|CHEM
C0006736|cálculo urinario|piedra en la orina|Body Substance|ANAT
C0006736|cálculo|piedra|Body Substance|ANAT
C0006767|callo|dureza|Tissue|ANAT
C0006826|cáncer|enfermedad con un crecimiento incontrolado de células malignas en el cuerpo que pueden propagarse desde el sitio original a un sitio distante|Neoplastic Process|DISO
C0006840|candidiasis|infección por un hongo del género Cándida|Disease or Syndrome|DISO
C0006849|candidiasis oral|infección por un hongo que causa placas blancas y algodonosas en la boca|Disease or Syndrome|DISO
C0006901|capilar|vaso más pequeño que transporta la sangre|Body Part, Organ, or Organ Component|ANAT
C0006983|cmz|carbimazol|Organic Chemical;Pharmacologic Substance|CHEM
C0006983|cz|carbimazol|Organic Chemical;Pharmacologic Substance|CHEM
C0007004|hidrato de carbono|hidrato|Organic Chemical|CHEM
C0007018|co|monóxido de carbono|Hazardous or Poisonous Substance;Inorganic Chemical|CHEM
C0007078|ántrax|inflamación de la piel con pus|Disease or Syndrome|DISO
C0007082|cea|antígeno carcinoembrionario (carcinoembryonic antigen)|Amino Acid, Peptide, or Protein;Immunologic Factor|CHEM
C0007082|ce|carcinoembrionario|Amino Acid, Peptide, or Protein;Immunologic Factor|CHEM
C0007090|carcinogénico|que provoca o produce cáncer|Hazardous or Poisonous Substance|CHEM
C0007095|tc|tumor carcinoide|Neoplastic Process|DISO
C0007097|carcinoma|tumor maligno|Neoplastic Process|DISO
C0007097|ca|carcinoma|Neoplastic Process|DISO
C0007097|epitelioma|tumor de la piel o de la mucosa|Neoplastic Process|DISO
C0007117|cbc|carcinoma basocelular|Neoplastic Process|DISO
C0007117|eb|epitelioma basocelular|Neoplastic Process|DISO
C0007124|cdis|carcinoma ductal in situ|Neoplastic Process|DISO
C0007124|cid|carcinoma intraductal|Neoplastic Process|DISO
C0007124|dci|carcinoma ductal in situ (ductal carcinoma in situ)|Neoplastic Process|DISO
C0007131|cáncer de pulmón de células no pequeñas|el tipo más común de cáncer de pulmón; por lo general, crece y se propaga más lentamente que el cáncer de pulmón de células pequeñas|Neoplastic Process|DISO
C0007131|cáncer de pulmón no microcítico|cáncer de pulmón de célula no pequeña|Neoplastic Process|DISO
C0007134|adenocarcinoma renal|cáncer de riñón|Neoplastic Process|DISO
C0007134|carcinoma de células renales|cánceres de riñón|Neoplastic Process|DISO
C0007137|ca epidermoide|carcinoma epidermoide|Neoplastic Process|DISO
C0007137|caep|carcinoma espinocelular|Neoplastic Process|DISO
C0007137|cec|carcinoma escamocelular|Neoplastic Process|DISO
