Type	Rank	Freq	Range	NormFreq	NormRange
de pólipos	14340	6	5	6.436	0.025
de responder	14340	6	6	6.436	0.030
de responsabilidad	14340	6	6	6.436	0.030
de saber	14340	6	6	6.436	0.030
de semanas	14340	6	5	6.436	0.025
de significa	14340	6	3	6.436	0.015
de sol	14340	6	4	6.436	0.020
de tamaño	14340	6	5	6.436	0.025
de tipos	14340	6	5	6.436	0.025
de tiroglobulina	14340	6	1	6.436	0.005
de tomate	14340	6	2	6.436	0.010
de veces	14340	6	4	6.436	0.020
de vegetales	14340	6	1	6.436	0.005
debe fundamentar	14340	6	6	6.436	0.030
debilitado por	14340	6	6	6.436	0.030
declaraciones de	14340	6	6	6.436	0.030
deja una	14340	6	5	6.436	0.025
del angiosarcoma	14340	6	2	6.436	0.010
del autor	14340	6	6	6.436	0.030
del cristalino	14340	6	4	6.436	0.020
del dr	14340	6	2	6.436	0.010
del habla	14340	6	5	6.436	0.025
del meduloepitelioma	14340	6	1	6.436	0.005
del muslo	14340	6	3	6.436	0.015
del olfato	14340	6	2	6.436	0.010
del procedimiento	14340	6	6	6.436	0.030
del propietario	14340	6	6	6.436	0.030
del retroperitoneo	14340	6	1	6.436	0.005
del selenio	14340	6	1	6.436	0.005
del texto	14340	6	6	6.436	0.030
del veb	14340	6	3	6.436	0.015
del árbol	14340	6	3	6.436	0.015
demasiado bajo	14340	6	1	6.436	0.005
demasiado grande	14340	6	6	6.436	0.030
demasiado líquido	14340	6	6	6.436	0.030
demostrar que	14340	6	3	6.436	0.015
den resultados	14340	6	3	6.436	0.015
densidad ósea	14340	6	5	6.436	0.025
dependen en	14340	6	5	6.436	0.025
dependerá de	14340	6	6	6.436	0.030
depresión se	14340	6	2	6.436	0.010
derecha muestra	14340	6	6	6.436	0.030
derecho anatomía	14340	6	6	6.436	0.030
derivación biliar	14340	6	3	6.436	0.015
derivación de	14340	6	3	6.436	0.015
desaparece o	14340	6	5	6.436	0.025
descargo de	14340	6	6	6.436	0.030
describe la	14340	6	5	6.436	0.025
desde ganglios	14340	6	3	6.436	0.015
desde otra	14340	6	5	6.436	0.025
desde que	14340	6	5	6.436	0.025
deseo de	14340	6	4	6.436	0.020
deseos de	14340	6	3	6.436	0.015
desmoplásico de	14340	6	1	6.436	0.005
destruidas para	14340	6	6	6.436	0.030
destruir más	14340	6	5	6.436	0.025
detallada en	14340	6	6	6.436	0.030
detección genética	14340	6	6	6.436	0.030
detección ya	14340	6	6	6.436	0.030
detectar los	14340	6	3	6.436	0.015
detectar masas	14340	6	5	6.436	0.025
dexametasona prueba	14340	6	3	6.436	0.015
dexametasona se	14340	6	3	6.436	0.015
diabetes mellitus	14340	6	3	6.436	0.015
diafragma a	14340	6	2	6.436	0.010
diafragma linfoma	14340	6	3	6.436	0.015
diagnosticada incluye	14340	6	2	6.436	0.010
diagnosticar las	14340	6	3	6.436	0.015
diagnosticó el	14340	6	4	6.436	0.020
diagnóstico la	14340	6	6	6.436	0.030
diarrea los	14340	6	4	6.436	0.020
diferenciado puntaje	14340	6	3	6.436	0.015
diferentes se	14340	6	5	6.436	0.025
diferentes tratamientos	14340	6	6	6.436	0.030
digestivo está	14340	6	6	6.436	0.030
digestivo que	14340	6	6	6.436	0.030
directa desde	14340	6	3	6.436	0.015
dirige a	14340	6	6	6.436	0.030
dirigen corrientes	14340	6	6	6.436	0.030
dirigida pazopanib	14340	6	3	6.436	0.015
dirigida tazemetostat	14340	6	3	6.436	0.015
diseminado desde	14340	6	2	6.436	0.010
diseminar un	14340	6	3	6.436	0.015
diseminaron profundamente	14340	6	1	6.436	0.005
disemine el	14340	6	6	6.436	0.030
diseminó es	14340	6	6	6.436	0.030
diseminó o	14340	6	4	6.436	0.020
disminuyó el	14340	6	4	6.436	0.020
dispositivo que	14340	6	5	6.436	0.025
dispositivos orales	14340	6	1	6.436	0.005
diámetro más	14340	6	1	6.436	0.005
docenas de	14340	6	6	6.436	0.030
documentos del	14340	6	6	6.436	0.030
dolor cuando	14340	6	4	6.436	0.020
dolor durante	14340	6	6	6.436	0.030
dolor hinchazón	14340	6	5	6.436	0.025
dolor para	14340	6	4	6.436	0.020
dolor por	14340	6	3	6.436	0.015
donde la	14340	6	2	6.436	0.010
dormir bien	14340	6	3	6.436	0.015
dos ensayos	14340	6	4	6.436	0.020
dos versiones	14340	6	6	6.436	0.030
dosis o	14340	6	4	6.436	0.020
dosis pequeñas	14340	6	6	6.436	0.030
dosis y	14340	6	5	6.436	0.025
dura mucho	14340	6	6	6.436	0.030
duración del	14340	6	5	6.436	0.025
durante cada	14340	6	5	6.436	0.025
durante tres	14340	6	3	6.436	0.015
día los	14340	6	6	6.436	0.030
días después	14340	6	6	6.436	0.030
dónde empezó	14340	6	2	6.436	0.010
e histiocitoma	14340	6	2	6.436	0.010
e interior	14340	6	3	6.436	0.015
ecografía en	14340	6	5	6.436	0.025
ecograma se	14340	6	5	6.436	0.025
edad se	14340	6	6	6.436	0.030
editorial del	14340	6	6	6.436	0.030
editorial para	14340	6	6	6.436	0.030
editoriales redactan	14340	6	6	6.436	0.030
efectos adversos	14340	6	5	6.436	0.025
efectos dañinos	14340	6	6	6.436	0.030
eficaces para	14340	6	6	6.436	0.030
eficacia si	14340	6	6	6.436	0.030
eficaz hibridación	14340	6	6	6.436	0.030
eficaz que	14340	6	3	6.436	0.015
ejerce presión	14340	6	3	6.436	0.015
ejercicio y	14340	6	5	6.436	0.025
el agua	14340	6	6	6.436	0.030
el arn	14340	6	4	6.436	0.020
el arnm	14340	6	6	6.436	0.030
el artista	14340	6	6	6.436	0.030
el blanco	14340	6	5	6.436	0.025
el bulto	14340	6	3	6.436	0.015
el cetuximab	14340	6	5	6.436	0.025
el consejo	14340	6	6	6.436	0.030
el descargo	14340	6	6	6.436	0.030
el dormitorio	14340	6	2	6.436	0.010
el duelo	14340	6	2	6.436	0.010
el ecograma	14340	6	5	6.436	0.025
el endoscopio	14340	6	4	6.436	0.020
el esputo	14340	6	4	6.436	0.020
el fibrosarcoma	14340	6	1	6.436	0.005
el formulario	14340	6	6	6.436	0.030
el glucagón	14340	6	3	6.436	0.015
el gpid	14340	6	1	6.436	0.005
el inhibidor	14340	6	5	6.436	0.025
el libre	14340	6	6	6.436	0.030
el luto	14340	6	1	6.436	0.005
el metabolismo	14340	6	4	6.436	0.020
el muestreo	14340	6	4	6.436	0.020
el nuevo	14340	6	6	6.436	0.030
el odontólogo	14340	6	5	6.436	0.025
el orificio	14340	6	6	6.436	0.030
el osimertinib	14340	6	1	6.436	0.005
el personal	14340	6	3	6.436	0.015
el physician	14340	6	6	6.436	0.030
el pigmento	14340	6	6	6.436	0.030
el plasma	14340	6	3	6.436	0.015
el prepucio	14340	6	1	6.436	0.005
el programa	14340	6	5	6.436	0.025
el regorafenib	14340	6	5	6.436	0.025
el semen	14340	6	5	6.436	0.025
el tept	14340	6	1	6.436	0.005
el yeyuno	14340	6	3	6.436	0.015
el último	14340	6	5	6.436	0.025
elaboran la	14340	6	6	6.436	0.030
electrónico mediante	14340	6	6	6.436	0.030
elevada de	14340	6	5	6.436	0.025
ellas las	14340	6	6	6.436	0.030
embarazo molar	14340	6	1	6.436	0.005
embarazo y	14340	6	4	6.436	0.020
embargo a	14340	6	6	6.436	0.030
embargo si	14340	6	6	6.436	0.030
empezar con	14340	6	5	6.436	0.025
en agua	14340	6	4	6.436	0.020
en brca	14340	6	4	6.436	0.020
en breve	14340	6	6	6.436	0.030
en cantidades	14340	6	6	6.436	0.030
en cuña	14340	6	1	6.436	0.005
en estándar	14340	6	6	6.436	0.030
en ganglio	14340	6	3	6.436	0.015
en lenguaje	14340	6	6	6.436	0.030
en varones	14340	6	6	6.436	0.030
en órgano	14340	6	3	6.436	0.015
encefálico controla	14340	6	6	6.436	0.030
encefálico focal	14340	6	1	6.436	0.005
encontrar formas	14340	6	6	6.436	0.030
encontrar los	14340	6	6	6.436	0.030
encuentra temprano	14340	6	4	6.436	0.020
encuentran tumores	14340	6	4	6.436	0.020
encuentran uno	14340	6	1	6.436	0.005
encéfalo controla	14340	6	4	6.436	0.020
encéfalo es	14340	6	5	6.436	0.025
encéfalo este	14340	6	6	6.436	0.030
encéfalo justo	14340	6	5	6.436	0.025
encéfalo las	14340	6	6	6.436	0.030
encéfalo pediátricos	14340	6	6	6.436	0.030
encías y	14340	6	3	6.436	0.015
endocrinas del	14340	6	3	6.436	0.015
endometrio de	14340	6	1	6.436	0.005
endometrio los	14340	6	5	6.436	0.025
endoprótesis a	14340	6	4	6.436	0.020
endoscopio y	14340	6	3	6.436	0.015
energía para	14340	6	6	6.436	0.030
enfermarse se	14340	6	3	6.436	0.015
enfermedad hay	14340	6	5	6.436	0.025
enfermedades como	14340	6	6	6.436	0.030
ensayo responde	14340	6	6	6.436	0.030
enterarse de	14340	6	3	6.436	0.015
entran en	14340	6	6	6.436	0.030
entran o	14340	6	1	6.436	0.005
enviar un	14340	6	6	6.436	0.030
enzima tirosina	14340	6	6	6.436	0.030
ependimoma anaplásico	14340	6	2	6.436	0.010
epiglotis la	14340	6	4	6.436	0.020
epiplón el	14340	6	2	6.436	0.010
er si	14340	6	3	6.436	0.015
es así	14340	6	4	6.436	0.020
es ayudar	14340	6	6	6.436	0.030
es determinar	14340	6	6	6.436	0.030
es exacta	14340	6	6	6.436	0.030
es ilegal	14340	6	3	6.436	0.015
es informar	14340	6	6	6.436	0.030
es mucho	14340	6	6	6.436	0.030
es pequeño	14340	6	6	6.436	0.030
es tan	14340	6	4	6.436	0.020
es técnico	14340	6	6	6.436	0.030
escamosas o	14340	6	5	6.436	0.025
escamosas que	14340	6	5	6.436	0.025
escisión para	14340	6	1	6.436	0.005
esclerótica al	14340	6	1	6.436	0.005
escroto el	14340	6	2	6.436	0.010
ese trozo	14340	6	6	6.436	0.030
esfenoides detrás	14340	6	2	6.436	0.010
esofagoscopia se	14340	6	3	6.436	0.015
espanol para	14340	6	6	6.436	0.030
espanol se	14340	6	6	6.436	0.030
especial durante	14340	6	3	6.436	0.015
especiales y	14340	6	5	6.436	0.025
especialidades relacionadas	14340	6	6	6.436	0.030
específico se	14340	6	6	6.436	0.030
espinal hay	14340	6	4	6.436	0.020
esputo moco	14340	6	4	6.436	0.020
espátula pequeña	14340	6	6	6.436	0.030
essiac o	14340	6	1	6.436	0.005
esta en	14340	6	3	6.436	0.015
esta exploración	14340	6	6	6.436	0.030
esta y	14340	6	5	6.436	0.025
estadificación y	14340	6	5	6.436	0.025
estadio anatómico	14340	6	3	6.436	0.015
estadio c	14340	6	2	6.436	0.010
estadio d	14340	6	2	6.436	0.010
estadio incluye	14340	6	6	6.436	0.030
estadio patológico	14340	6	4	6.436	0.020
estado nutricional	14340	6	2	6.436	0.010
estas decisiones	14340	6	4	6.436	0.020
este virus	14340	6	6	6.436	0.030
esteatohepatitis no	14340	6	2	6.436	0.010
estereotáctica para	14340	6	3	6.436	0.015
esternón o	14340	6	1	6.436	0.005
estimula la	14340	6	6	6.436	0.030
estimulantes de	14340	6	4	6.436	0.020
esto a	14340	6	6	6.436	0.030
esto también	14340	6	6	6.436	0.030
estos casos	14340	6	6	6.436	0.030
estos consejos	14340	6	6	6.436	0.030
estos el	14340	6	5	6.436	0.025
estos los	14340	6	5	6.436	0.025
estreñimiento o	14340	6	5	6.436	0.025
estrógeno como	14340	6	3	6.436	0.015
estrógeno estas	14340	6	3	6.436	0.015
estrógeno por	14340	6	3	6.436	0.015
estudia para	14340	6	5	6.436	0.025
estudiado para	14340	6	5	6.436	0.025
estudio ciertos	14340	6	2	6.436	0.010
estudios anteriores	14340	6	6	6.436	0.030
estudios fueron	14340	6	2	6.436	0.010
estudios también	14340	6	6	6.436	0.030
está al	14340	6	4	6.436	0.020
está alejado	14340	6	3	6.436	0.015
está bloqueada	14340	6	4	6.436	0.020
está muriendo	14340	6	1	6.436	0.005
están alrededor	14340	6	2	6.436	0.010
están integrados	14340	6	6	6.436	0.030
están muy	14340	6	6	6.436	0.030
están por	14340	6	6	6.436	0.030
estándar en	14340	6	4	6.436	0.020
estándar observación	14340	6	3	6.436	0.015
estándar terapia	14340	6	3	6.436	0.015
estómago infantil	14340	6	1	6.436	0.005
esófago cáncer	14340	6	4	6.436	0.020
esófago que	14340	6	4	6.436	0.020
evite los	14340	6	2	6.436	0.010
ewing de	14340	6	2	6.436	0.010
ewing metastásico	14340	6	1	6.436	0.005
exacta y	14340	6	6	6.436	0.030
examen que	14340	6	6	6.436	0.030
examinan células	14340	6	6	6.436	0.030
examinar a	14340	6	4	6.436	0.020
examine para	14340	6	5	6.436	0.025
excepto el	14340	6	3	6.436	0.015
excesivos pérdida	14340	6	5	6.436	0.025
exclusivo en	14340	6	6	6.436	0.030
exponer al	14340	6	6	6.436	0.030
expuestas a	14340	6	4	6.436	0.020
exterior e	14340	6	3	6.436	0.015
externa con	14340	6	2	6.436	0.010
externa que	14340	6	5	6.436	0.025
externa y	14340	6	6	6.436	0.030
extirpar uno	14340	6	5	6.436	0.025
extrae prueba	14340	6	6	6.436	0.030
extraer células	14340	6	6	6.436	0.030
extraer hormonas	14340	6	6	6.436	0.030
extrajo por	14340	6	2	6.436	0.010
extremo inferior	14340	6	6	6.436	0.030
exámenes son	14340	6	6	6.436	0.030
eyaculatorio anatomía	14340	6	6	6.436	0.030
factores también	14340	6	2	6.436	0.010
familia los	14340	6	4	6.436	0.020
fase acelerada	14340	6	1	6.436	0.005
fase crónica	14340	6	1	6.436	0.005
fase i	14340	6	5	6.436	0.025
fase ii	14340	6	3	6.436	0.015
fatiga los	14340	6	2	6.436	0.010
favorable si	14340	6	3	6.436	0.015
fecal y	14340	6	5	6.436	0.025
federal los	14340	6	6	6.436	0.030
feto cada	14340	6	6	6.436	0.030
filtra la	14340	6	6	6.436	0.030
fines de	14340	6	3	6.436	0.015
flechas que	14340	6	6	6.436	0.030
fobt se	14340	6	3	6.436	0.015
forma pdq	14340	6	6	6.436	0.030
forma periódica	14340	6	6	6.436	0.030
formales para	14340	6	6	6.436	0.030
forman tumores	14340	6	3	6.436	0.015
formó primero	14340	6	3	6.436	0.015
fragmento del	14340	6	6	6.436	0.030
frecuencia con	14340	6	6	6.436	0.030
frecuentes de	14340	6	6	6.436	0.030
frente y	14340	6	6	6.436	0.030
fueron desiguales	14340	6	1	6.436	0.005
fumadores empedernidos	14340	6	3	6.436	0.015
fumar antes	14340	6	5	6.436	0.025
funcionan bien	14340	6	6	6.436	0.030
funciones del	14340	6	5	6.436	0.025
función en	14340	6	4	6.436	0.020
fundamentar ninguna	14340	6	6	6.436	0.030
físico o	14340	6	4	6.436	0.020
ganglios centinela	14340	6	2	6.436	0.010
ganglios miden	14340	6	1	6.436	0.005
garganta al	14340	6	6	6.436	0.030
garganta las	14340	6	6	6.436	0.030
gastrointestinal es	14340	6	4	6.436	0.020
gastrointestinal infantiles	14340	6	4	6.436	0.020
gen específico	14340	6	6	6.436	0.030
general son	14340	6	6	6.436	0.030
genética tratamiento	14340	6	6	6.436	0.030
genéticas del	14340	6	6	6.436	0.030
genético llamado	14340	6	1	6.436	0.005
genéticos como	14340	6	6	6.436	0.030
gerson se	14340	6	1	6.436	0.005
gestación que	14340	6	1	6.436	0.005
gira alrededor	14340	6	4	6.436	0.020
glioma focal	14340	6	1	6.436	0.005
gliomas de	14340	6	1	6.436	0.005
glotis el	14340	6	1	6.436	0.005
glucosa quizás	14340	6	5	6.436	0.025
glucosa una	14340	6	5	6.436	0.025
glándula salival	14340	6	1	6.436	0.005
gobierno federal	14340	6	6	6.436	0.030
gonzalez se	14340	6	1	6.436	0.005
gotas para	14340	6	4	6.436	0.020
grado grado	14340	6	1	6.436	0.005
grados altos	14340	6	3	6.436	0.015
grados de	14340	6	3	6.436	0.015
grados o	14340	6	1	6.436	0.005
gran actividad	14340	6	3	6.436	0.015
gran masa	14340	6	3	6.436	0.015
grande se	14340	6	5	6.436	0.025
grasas y	14340	6	6	6.436	0.030
graso los	14340	6	6	6.436	0.030
grave en	14340	6	5	6.436	0.025
grave o	14340	6	4	6.436	0.020
graves del	14340	6	4	6.436	0.020
graves en	14340	6	6	6.436	0.030
grueso que	14340	6	6	6.436	0.030
grupo ii	14340	6	2	6.436	0.010
grupos para	14340	6	4	6.436	0.020
guiar la	14340	6	5	6.436	0.025
habitualmente no	14340	6	6	6.436	0.030
había diseminado	14340	6	4	6.436	0.020
hace poco	14340	6	6	6.436	0.030
hacen frente	14340	6	4	6.436	0.020
hacia abajo	14340	6	6	6.436	0.030
haga un	14340	6	6	6.436	0.030
han mostrado	14340	6	5	6.436	0.025
han usado	14340	6	4	6.436	0.020
hasta años	14340	6	6	6.436	0.030
hay antecedentes	14340	6	5	6.436	0.025
hay factores	14340	6	4	6.436	0.020
hay tratamientos	14340	6	4	6.436	0.020
hay y	14340	6	6	6.436	0.030
haz delgado	14340	6	6	6.436	0.030
hcl y	14340	6	1	6.436	0.005
hepatectomía total	14340	6	4	6.436	0.020
hepática a	14340	6	5	6.436	0.025
her estas	14340	6	3	6.436	0.015
her her	14340	6	3	6.436	0.015
her para	14340	6	3	6.436	0.015
her se	14340	6	3	6.436	0.015
her si	14340	6	3	6.436	0.015
hidracina en	14340	6	1	6.436	0.005
hidracina para	14340	6	1	6.436	0.005
hipertérmica qiph	14340	6	3	6.436	0.015
hizo el	14340	6	6	6.436	0.030
hodgkin hay	14340	6	4	6.436	0.020
hodgkin la	14340	6	3	6.436	0.015
hodgkin lo	14340	6	3	6.436	0.015
hombres los	14340	6	5	6.436	0.025
hongo que	14340	6	5	6.436	0.025
hongos medicinales	14340	6	1	6.436	0.005
hormona foliculoestimulante	14340	6	2	6.436	0.010
hormona liberadora	14340	6	5	6.436	0.025
hormonal para	14340	6	5	6.436	0.025
hormonales que	14340	6	3	6.436	0.015
hormonas a	14340	6	6	6.436	0.030
hormonas el	14340	6	5	6.436	0.025
hormonas femeninas	14340	6	6	6.436	0.030
hormonas tiroideas	14340	6	5	6.436	0.025
hoyuelos en	14340	6	4	6.436	0.020
http www	14340	6	3	6.436	0.015
hueso es	14340	6	5	6.436	0.025
hueso los	14340	6	5	6.436	0.025
huesos son	14340	6	6	6.436	0.030
huésped eich	14340	6	3	6.436	0.015
hígado continúa	14340	6	6	6.436	0.030
hígado de	14340	6	4	6.436	0.020
hígado incluye	14340	6	5	6.436	0.025
hígado sano	14340	6	5	6.436	0.025
hígado si	14340	6	3	6.436	0.015
i de	14340	6	3	6.436	0.015
identificar como	14340	6	6	6.436	0.030
iguales en	14340	6	4	6.436	0.020
iia parte	14340	6	1	6.436	0.005
iic en	14340	6	4	6.436	0.020
iie el	14340	6	3	6.436	0.015
iii de	14340	6	2	6.436	0.010
iii que	14340	6	1	6.436	0.005
iiia parte	14340	6	1	6.436	0.005
iiic se	14340	6	6	6.436	0.030
ilustraciones de	14340	6	6	6.436	0.030
importante de	14340	6	6	6.436	0.030
importante tratar	14340	6	4	6.436	0.020
importantes en	14340	6	5	6.436	0.025
importantes una	14340	6	6	6.436	0.030
imágenes científicas	14340	6	6	6.436	0.030
imágenes el	14340	6	5	6.436	0.025
imágenes fuera	14340	6	6	6.436	0.030
imágenes relacionadas	14340	6	6	6.436	0.030
inactivadores de	14340	6	1	6.436	0.005
incapaces de	14340	6	3	6.436	0.015
incapacidad para	14340	6	5	6.436	0.025
incluir fragmento	14340	6	6	6.436	0.030
incluso de	14340	6	6	6.436	0.030
incluso si	14340	6	6	6.436	0.030
incluya las	14340	6	5	6.436	0.025
incluyen fiebre	14340	6	3	6.436	0.015
incluyen ganglios	14340	6	3	6.436	0.015
incluyen pérdida	14340	6	3	6.436	0.015
incoloro y	14340	6	6	6.436	0.030
independiente de	14340	6	6	6.436	0.030
indeterminada gmsi	14340	6	1	6.436	0.005
indica cuándo	14340	6	6	6.436	0.030
indica un	14340	6	6	6.436	0.030
indican cómo	14340	6	6	6.436	0.030
infantil después	14340	6	3	6.436	0.015
infantil progresivo	14340	6	4	6.436	0.020
infantil terapias	14340	6	6	6.436	0.030
infantil tienen	14340	6	2	6.436	0.010
infantiles pueden	14340	6	4	6.436	0.020
infecciones frecuentes	14340	6	6	6.436	0.030
inferior el	14340	6	4	6.436	0.020
inferior o	14340	6	6	6.436	0.030
inflamación o	14340	6	5	6.436	0.025
influye en	14340	6	4	6.436	0.020
información a	14340	6	6	6.436	0.030
información actualizada	14340	6	6	6.436	0.030
información hereditaria	14340	6	6	6.436	0.030
información llamar	14340	6	6	6.436	0.030
información se	14340	6	4	6.436	0.020
informar y	14340	6	6	6.436	0.030
informes anecdóticos	14340	6	5	6.436	0.025
inglés el	14340	6	6	6.436	0.030
inhalado en	14340	6	1	6.436	0.005
inmunitarias como	14340	6	6	6.436	0.030
inmunitario bloquean	14340	6	6	6.436	0.030
inmunoquímica fecal	14340	6	2	6.436	0.010
inmunoterapia nivolumab	14340	6	5	6.436	0.025
institute las	14340	6	6	6.436	0.030
integrados por	14340	6	6	6.436	0.030
integral del	14340	6	6	6.436	0.030
interleucina il	14340	6	4	6.436	0.020
interna y	14340	6	6	6.436	0.030
internet http	14340	6	3	6.436	0.015
interrumpe el	14340	6	5	6.436	0.025
interrumpe la	14340	6	6	6.436	0.030
intestinales frecuentes	14340	6	4	6.436	0.020
intestinales y	14340	6	4	6.436	0.020
intrahepáticas en	14340	6	1	6.436	0.005
intratecal o	14340	6	5	6.436	0.025
intratecal un	14340	6	6	6.436	0.030
investigación biomédica	14340	6	6	6.436	0.030
invisibles con	14340	6	6	6.436	0.030
inyección en	14340	6	6	6.436	0.030
ir al	14340	6	4	6.436	0.020
irm se	14340	6	4	6.436	0.020
iv parte	14340	6	1	6.436	0.005
ivb parte	14340	6	1	6.436	0.005
ivb según	14340	6	5	6.436	0.025
izquierda muestra	14340	6	6	6.436	0.030
izquierdo b	14340	6	2	6.436	0.010
izquierdo debajo	14340	6	1	6.436	0.005
izquierdo los	14340	6	6	6.436	0.030
kaposi es	14340	6	2	6.436	0.010
la ablación	14340	6	4	6.436	0.020
la activación	14340	6	6	6.436	0.030
la amigdalina	14340	6	1	6.436	0.005
la aspiración	14340	6	6	6.436	0.030
la barrera	14340	6	5	6.436	0.025
la clase	14340	6	3	6.436	0.015
la coagulación	14340	6	2	6.436	0.010
la densidad	14340	6	4	6.436	0.020
la desnutrición	14340	6	3	6.436	0.015
la devuelven	14340	6	6	6.436	0.030
la distancia	14340	6	4	6.436	0.020
la doxorrubicina	14340	6	3	6.436	0.015
la editorial	14340	6	6	6.436	0.030
la escritura	14340	6	5	6.436	0.025
la evolución	14340	6	5	6.436	0.025
la extrema	14340	6	1	6.436	0.005
la fertilidad	14340	6	5	6.436	0.025
la gastrina	14340	6	2	6.436	0.010
la inmunodepresión	14340	6	3	6.436	0.015
la lactosa	14340	6	2	6.436	0.010
la lectura	14340	6	6	6.436	0.030
la lesión	14340	6	4	6.436	0.020
la mañana	14340	6	6	6.436	0.030
la mca	14340	6	5	6.436	0.025
la microglobulina	14340	6	2	6.436	0.010
la nuca	14340	6	6	6.436	0.030
la opción	14340	6	5	6.436	0.025
la placenta	14340	6	3	6.436	0.015
la política	14340	6	6	6.436	0.030
la progesterona	14340	6	5	6.436	0.025
la rcr	14340	6	1	6.436	0.005
la recidiva	14340	6	5	6.436	0.025
la referencia	14340	6	6	6.436	0.030
la ropa	14340	6	5	6.436	0.025
la sedación	14340	6	2	6.436	0.010
la somatostatina	14340	6	2	6.436	0.010
la trh	14340	6	3	6.436	0.015
la utilización	14340	6	6	6.436	0.030
la vacuna	14340	6	3	6.436	0.015
la úvula	14340	6	4	6.436	0.020
labios la	14340	6	5	6.436	0.025
laboratorio cada	14340	6	6	6.436	0.030
laboratorio procedimientos	14340	6	6	6.436	0.030
laparoscópica total	14340	6	6	6.436	0.030
largo tiempo	14340	6	6	6.436	0.030
laringe puntos	14340	6	3	6.436	0.015
laringe son	14340	6	3	6.436	0.015
las clases	14340	6	6	6.436	0.030
las copias	14340	6	6	6.436	0.030
las ilustraciones	14340	6	6	6.436	0.030
las llagas	14340	6	1	6.436	0.005
las manchas	14340	6	1	6.436	0.005
las maneras	14340	6	4	6.436	0.020
las ondas	14340	6	6	6.436	0.030
las pestañas	14340	6	1	6.436	0.005
las primeras	14340	6	6	6.436	0.030
las secciones	14340	6	5	6.436	0.025
las tareas	14340	6	5	6.436	0.025
lateral el	14340	6	5	6.436	0.025
lateral y	14340	6	5	6.436	0.025
laterales de	14340	6	6	6.436	0.030
lavanda y	14340	6	1	6.436	0.005
lcr no	14340	6	3	6.436	0.015
leche y	14340	6	3	6.436	0.015
lectura la	14340	6	6	6.436	0.030
legra o	14340	6	3	6.436	0.015
legrado en	14340	6	3	6.436	0.015
lejanas del	14340	6	4	6.436	0.020
lejanos o	14340	6	3	6.436	0.015
lenguaje fácil	14340	6	6	6.436	0.030
lenguaje técnico	14340	6	6	6.436	0.030
les administran	14340	6	2	6.436	0.010
lesiones del	14340	6	1	6.436	0.005
lesiones múltiples	14340	6	1	6.436	0.005
leucemia afecte	14340	6	3	6.436	0.015
leucemia aguda	14340	6	4	6.436	0.020
leucemia consulte	14340	6	6	6.436	0.030
leucemia neutrofílica	14340	6	1	6.436	0.005
leucemia puede	14340	6	3	6.436	0.015
liberadora de	14340	6	5	6.436	0.025
libre uso	14340	6	6	6.436	0.030
linfedema el	14340	6	1	6.436	0.005
linfedema es	14340	6	1	6.436	0.005
linfocitos almacena	14340	6	6	6.436	0.030
linfocitos filtra	14340	6	6	6.436	0.030
linfocitos glóbulos	14340	6	6	6.436	0.030
linfoide asociado	14340	6	2	6.436	0.010
linfoma es	14340	6	3	6.436	0.015
linfático b	14340	6	4	6.436	0.020
linfático está	14340	6	1	6.436	0.005
linfático n	14340	6	3	6.436	0.015
linfáticos comprometidos	14340	6	3	6.436	0.015
linfáticos estructuras	14340	6	6	6.436	0.030
linfáticos luego	14340	6	5	6.436	0.025
linfáticos red	14340	6	6	6.436	0.030
linfáticos transportan	14340	6	4	6.436	0.020
liver cancer	14340	6	1	6.436	0.005
lla que	14340	6	2	6.436	0.010
lla se	14340	6	2	6.436	0.010
llaga que	14340	6	3	6.436	0.015
llama arnm	14340	6	6	6.436	0.030
llama biopsia	14340	6	4	6.436	0.020
llama gammagrafía	14340	6	4	6.436	0.020
llama linfoma	14340	6	3	6.436	0.015
llama melanoma	14340	6	4	6.436	0.020
llama piel	14340	6	4	6.436	0.020
llama radiocirugía	14340	6	6	6.436	0.030
llama tumor	14340	6	5	6.436	0.025
llamada adn	14340	6	6	6.436	0.030
llamada retrotranscriptasa	14340	6	6	6.436	0.030
llamado cromosoma	14340	6	5	6.436	0.025
llamado translocación	14340	6	1	6.436	0.005
llaman blastocitos	14340	6	2	6.436	0.010
llc sintomática	14340	6	1	6.436	0.005
llegar hasta	14340	6	5	6.436	0.025
lma que	14340	6	2	6.436	0.010
lo antes	14340	6	3	6.436	0.015
lo hacen	14340	6	6	6.436	0.030
localizado u	14340	6	2	6.436	0.010
los actualizan	14340	6	6	6.436	0.030
los adenomas	14340	6	3	6.436	0.015
los amigos	14340	6	5	6.436	0.025
los consejos	14340	6	6	6.436	0.030
los controles	14340	6	4	6.436	0.020
los documentos	14340	6	6	6.436	0.030
los enemas	14340	6	3	6.436	0.015
los espacios	14340	6	5	6.436	0.025
los estrógenos	14340	6	5	6.436	0.025
los lavados	14340	6	4	6.436	0.020
los nuevos	14340	6	6	6.436	0.030
los pineoblastomas	14340	6	3	6.436	0.015
los usuarios	14340	6	6	6.436	0.030
los y	14340	6	6	6.436	0.030
luego al	14340	6	6	6.436	0.030
luego del	14340	6	5	6.436	0.025
luego otra	14340	6	6	6.436	0.030
lugar o	14340	6	6	6.436	0.030
lugares en	14340	6	5	6.436	0.025
